"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW1";"SW_DP3T";2;"SW-DP3T";;;
2;"K1";"relay-CB1AH";1;"CB1aH-P-12V";;;
3;"U1";"SOP4";1;"CPC1002N";;;
4;"U4";"SO16N";1;"MAX232";;;
5;"J2";"DB9FD";1;"DB9";;;
6;"U6,U7";"LM193";2;"LM193";;;
7;"R17,R22,R27,R33";"SM2512W-1225";4;"5k 2W PR";;;
8;"D10,D7";"SOT23";2;"TVS-15V";;;
9;"R2,R7,R11,R12,R13,R14,R15,R18,R19,R20,R25,R31";"SM0805";12;"10k";;;
10;"R1";"SM0805";1;"3.4k";;;
11;"Cb2,Cb1,C5,Cb3,Cb5,Cb6,C24,C1";"SM0805";8;"0.1uF";;;
12;"Cb4,C22,C18";"SM0805";3;"10uF";;;
13;"FB1";"SM0805";1;"1kOhm@100MHz";;;
14;"R5";"SM0805";1;"1k";;;
15;"C7,C8,C9,C10,C11";"SM0805";5;"1uF";;;
16;"C19,C20";"SM0805";2;"22pF";;;
17;"R3,R16,R21,R26,R32";"SM0805";5;"56.2k";;;
18;"C23";"SM0805";1;"22uF";;;
19;"C25,C26,C27,C28";"SM0805";4;"4nF";;;
20;"X1";"HC49-US";1;"18.432 MHz";;;
21;"D6";"DO-214AA-TVS";1;"TVS-13V";;;
22;"TH1";"PTC2920";1;"PTC-3A";;;
23;"J10";"PIN_ARRAY_4x1";1;"ADC";;;
24;"Q4,Q2,Q1";"DPAK2";3;"NTD5806NT4G";;;
25;"C16,C17,C15,C14,C12,C13";"C2V10";6;"10F";;;
26;"J13";"OSTTE-4";1;"FLM";;;
27;"J12";"OSTTE-4";1;"STK";;;
28;"J14";"OSTTE-4";1;"CC-Ser";;;
29;"J16";"OSTTE-4";1;"AUX";;;
30;"J18";"OSTTE-2";1;"5Vout";;;
31;"J17";"OSTTE-2";1;"12Vin";;;
32;"J15";"OSTTE-2";1;"LGHT";;;
33;"J3";"PIN_ARRAY_3X1";1;"MTN";;;
34;"U5";"V78XX-2000";1;"V7805-2000";;;
35;"J7";"pin_array_4x2_ra";1;"Keypad";;;
36;"J1";"pin_array_8x2_ra";1;"LCD";;;
37;"Q3,Q6,Q5";"SOT23-BSS138K";3;"BSS138K";;;
38;"D3,D8,D9,D1,D2,D4";"DO-214AB";6;"STPS5L60";;;
39;"J?,J?,J?,J?";"screw-4-40";4;"Val**";;;
40;"VAL";"BBDC-logo-750m.mod";1;"BBDC-logo-750m.mod";;;
41;"VAL";"OSHW-300m";1;"OSHW-300m";;;
42;"J11";"OLinuXino-MICRO-min";1;"TTL UART";;;
43;"J4";"MOLEX-39910-0103-3circ";1;"39910-0103";;;
44;"R10";"R4";1;"120";;;
45;"C21";"C-X2-15mm";1;"0.1uF";;;
46;"U3";"Allegro_HallSensor_CB-PFF";1;"ACS755";;;
47;"U2";"TQFP44-ATMega324";1;"ATMEGA324PA-A";;;
48;"R6";"POTX";1;"10k";;;
49;"J?,J?,J?,J?";"screw-4-40th";4;"Val**";;;
50;"J6";"pin_array_3x2_ra";1;"ISP Hdr";;;
51;"J?";"RICHCO-TCEHCBS-board-edge";1;"RICHCO-TCEHCBS";;;
52;"J?";"RICHCO-TCEHCBS-board-edge";1;"Val**";;;
